0,0,8,12,-1,-1,-1,-1,-1,-1
1,0.030492,8,12,-1,-1,-1,-1,-1,-1
2,0.344572,1576,6474,-1,-1,-1,-1,-1,-1
3,0.251233,1576,6474,-1,-1,-1,-1,-1,-1
4,0.095614,4378,10206,-1,-1,-1,-1,-1,-1
5,0.983461,9908,51094,-1,-1,-1,-1,-1,-1
6,0.020961,9908,51094,0.00589413,0.501172,2.97386,2.21276,531.55,7.4051
8,0.526843,1939,9821,0.189458,0.700735,2.87642,1.84966,9.65814,4.23
7,0.017317,5202,24398,0.189458,0.699253,2.87642,1.88488,9.79153,4.3265
8,0.094498,2613,12674,0.189458,0.749769,2.87642,1.8114,9.65814,3.95583
9,0.051362,2613,12570,0.226696,0.759083,2.68159,1.78806,7.52935,3.9064
10,0.100073,2613,12570,0.265974,0.787811,2.5989,1.77299,6.67786,3.75194
8,0.025896,2428,11539,0.265974,0.795287,2.5989,1.76619,6.67786,3.72283
12,0.011172,1314,5734,0.32108,0.809188,2.49512,1.75642,5.90898,3.68161
13,-1,0,-1,-1,-1,-1,-1,-1,-1
