0,0,24,36,-1,-1,-1,-1,-1,-1
1,0.029996,24,36,-1,-1,-1,-1,-1,-1
2,0.062693,411,1160,-1,-1,-1,-1,-1,-1
3,0.094798,411,1160,-1,-1,-1,-1,-1,-1
4,0.039171,1720,2288,-1,-1,-1,-1,-1,-1
5,0.489034,3650,21081,-1,-1,-1,-1,-1,-1
6,0.009142,3650,21081,0,0.371715,3.14159,2.3397,2.68661e+12,8.26463e+08
8,0.194899,1634,9420,0.00111553,0.39645,3.12344,2.2487,7648.37,93.5663
7,0.010853,3249,16801,0.000993917,0.476387,3.13521,2.15222,7648.37,56.9327
8,0.098515,1981,10904,0.000740268,0.457935,3.13732,2.17108,7648.37,77.8681
9,0.083503,1981,10187,0.00146337,0.536789,3.13252,1.99524,1275.39,19.2083
10,0.100814,1981,10187,0.00289803,0.591286,3.0716,1.95882,210.919,7.39695
7,0.007839,2670,12940,0.00289803,0.615869,3.0716,1.94405,210.919,6.77888
8,0.102837,1169,5455,0.13352,0.680988,2.90398,1.91567,15.5967,4.46018
9,0.023602,1169,5397,0.141441,0.695166,2.80929,1.88179,15.5967,4.31747
10,0.04371,1169,5397,0.232682,0.737258,2.78424,1.84809,8.29209,4.04299
8,0.026054,1013,4579,0.265096,0.741808,2.73713,1.8468,7.6936,4.02059
12,0.009928,390,1180,0.298924,0.724857,2.73713,1.86604,7.6936,4.09775
13,-1,0,-1,-1,-1,-1,-1,-1,-1
