0,0,8,12,-1,-1,-1,-1,-1,-1
1,0.063126,8,12,-1,-1,-1,-1,-1,-1
2,0.603811,2517,11328,-1,-1,-1,-1,-1,-1
3,0.352738,2517,11328,-1,-1,-1,-1,-1,-1
4,0.138869,6549,16614,-1,-1,-1,-1,-1,-1
5,1.90447,13838,71737,-1,-1,-1,-1,-1,-1
6,0.052388,13838,71737,0,0.508215,3.14159,2.20732,1e+50,3.91709e+47
8,1.04768,3371,17275,0.0480641,0.698169,3.0456,1.8354,36.0113,4.43599
7,0.076902,13175,65063,0.0480641,0.711782,3.03085,1.86848,29.7148,4.38335
8,0.488472,5180,26450,0.230476,0.763842,2.72167,1.80739,7.31709,3.92502
9,0.166662,5180,26404,0.230476,0.770755,2.69688,1.79387,7.19058,3.88607
10,0.233101,5180,26404,0.284521,0.81353,2.60693,1.75792,6.26374,3.66917
8,0.094551,4738,24078,0.33904,0.818304,2.60192,1.75476,6.1302,3.65431
12,0.042332,3112,15402,0.33904,0.83209,2.60192,1.74242,5.99109,3.60223
13,-1,0,-1,-1,-1,-1,-1,-1,-1
